Epoch	P1	P2	P3	P4	P5	P6	P7	P8
3.5010	0.00662	0.24463	0.26932	0.24860	0.23809	0.23395	0.27327	0.29462
3.5510	0.00601	0.22880	0.25369	0.23497	0.22735	0.22504	0.26767	0.29116
3.6010	0.00564	0.21534	0.23818	0.22005	0.21198	0.20151	0.23030	0.25178
3.6510	0.00580	0.22253	0.24854	0.23290	0.23181	0.23039	0.27281	0.30520
3.7010	0.00524	0.20724	0.23493	0.22285	0.22703	0.23256	0.28200	0.32112
3.7510	0.00534	0.21376	0.24302	0.23122	0.23758	0.24268	0.29001	0.32769
3.8010	0.00526	0.21071	0.24017	0.22891	0.23280	0.23850	0.28301	0.31916
3.8510	0.00483	0.19650	0.23216	0.22382	0.23241	0.24397	0.29813	0.33911
3.9010	0.00493	0.20844	0.24372	0.23395	0.24010	0.24807	0.29880	0.34076
3.9510	0.00503	0.19960	0.23447	0.22523	0.23130	0.24042	0.28913	0.32819
4.0010	0.00530	0.21139	0.24636	0.23177	0.23356	0.23997	0.28927	0.32996
4.0510	0.00594	0.22534	0.26004	0.24454	0.24347	0.24948	0.29769	0.33896
4.1010	0.00656	0.23960	0.27178	0.25279	0.24732	0.24666	0.28697	0.32421
4.1510	0.00701	0.25414	0.28827	0.27017	0.26667	0.26654	0.31485	0.35871
4.2010	0.00688	0.25392	0.28857	0.26974	0.26801	0.27109	0.32637	0.37613
4.2510	0.00643	0.24190	0.27793	0.26241	0.26347	0.26867	0.32326	0.36926
4.3010	0.00624	0.23253	0.26814	0.25830	0.26319	0.27273	0.32232	0.36449
4.3510	0.00587	0.22563	0.26567	0.25860	0.26631	0.27642	0.32919	0.37606
4.4010	0.00542	0.21296	0.25289	0.24662	0.25477	0.26526	0.32070	0.37027
4.4510	0.00581	0.22661	0.26380	0.25448	0.25872	0.26439	0.31719	0.36653
4.5010	0.00590	0.23662	0.27227	0.25909	0.25907	0.25943	0.30549	0.35133
4.5510	0.00624	0.24962	0.28242	0.26629	0.26336	0.26113	0.30239	0.34195
4.6010	0.00618	0.24261	0.27411	0.25986	0.25894	0.25742	0.30194	0.34468
4.6510	0.00544	0.21884	0.25156	0.23853	0.24169	0.24397	0.29366	0.33969
4.7010	0.00583	0.22341	0.25428	0.23972	0.24239	0.24662	0.30318	0.35041
4.7510	0.00569	0.22945	0.26234	0.24646	0.25039	0.25434	0.31734	0.37181
4.8010	0.00567	0.22630	0.25904	0.24284	0.24555	0.24963	0.31243	0.36923
4.8510	0.00541	0.21808	0.25076	0.23562	0.23960	0.24614	0.31078	0.36825
4.9010	0.00548	0.22373	0.25690	0.23861	0.24329	0.25277	0.32286	0.38183
4.9510	0.00549	0.22375	0.25824	0.24115	0.24473	0.25093	0.31189	0.36778
5.0010	0.00577	0.23469	0.26728	0.24858	0.24888	0.25005	0.30239	0.35059
5.0510	0.00515	0.21922	0.25742	0.24533	0.25536	0.26590	0.33178	0.38575
5.1010	0.00578	0.24249	0.27967	0.26245	0.26729	0.27394	0.33505	0.38726
5.1510	0.00607	0.24784	0.28481	0.26914	0.27312	0.27954	0.34162	0.39475
5.2010	0.00564	0.23145	0.26899	0.25485	0.25938	0.26546	0.32649	0.37748
5.2510	0.00579	0.24393	0.28104	0.26252	0.26136	0.26563	0.32969	0.38662
5.3010	0.00574	0.23727	0.27403	0.25815	0.25625	0.26340	0.32676	0.38083
5.3510	0.00543	0.22692	0.27153	0.26550	0.27080	0.28468	0.35173	0.40652
5.4010	0.00560	0.23057	0.27326	0.26529	0.26876	0.28153	0.34519	0.40413
5.4510	0.00605	0.24186	0.28215	0.27159	0.26941	0.27573	0.32441	0.37029
5.5010	0.00534	0.22016	0.25863	0.24963	0.24867	0.25179	0.29852	0.34155
5.5510	0.00506	0.21446	0.25191	0.23853	0.23663	0.24131	0.29951	0.35091
5.6010	0.00552	0.23646	0.27757	0.25962	0.25599	0.25836	0.32154	0.37738
5.6510	0.00520	0.22700	0.26696	0.24987	0.24684	0.24849	0.31102	0.36452
5.7010	0.00558	0.22718	0.26422	0.24847	0.24488	0.24603	0.30396	0.35369
5.7510	0.00537	0.22419	0.26168	0.24794	0.24618	0.24705	0.30554	0.35573
5.8010	0.00572	0.23588	0.27198	0.25573	0.25183	0.24990	0.30381	0.35690
5.8510	0.00619	0.24117	0.28133	0.27376	0.27678	0.27574	0.33258	0.38766
