Epoch	GAN	Discriminative
10.6010	0.73434	1.48495
10.6510	0.72697	1.49586
10.7010	0.74728	1.46901
10.7510	0.74401	1.46602
10.8010	0.68711	1.52701
10.8510	0.66488	1.56754
10.9010	0.70562	1.51784
10.9510	0.71820	1.52545
11.0010	0.66213	1.56415
11.0510	0.65178	1.55195
11.1010	0.65385	1.56476
11.1510	0.66240	1.55026
11.2010	0.60686	1.60880
11.2510	0.70124	1.56752
11.3010	0.66288	1.57953
11.3510	0.68014	1.54614
11.4010	0.72275	1.51200
11.4510	0.66749	1.57814
11.5010	0.65965	1.59410
11.5510	0.71539	1.53258
11.6010	0.69651	1.60572
11.6510	0.62487	1.66128
11.7010	0.64347	1.64690
11.7510	0.62415	1.67353
11.8010	0.62091	1.68549
11.8510	0.60453	1.68213
11.9010	0.61134	1.67547
11.9510	0.59206	1.67636
12.0010	0.61285	1.65149
12.0510	0.63402	1.64810
12.1010	0.73706	1.59287
12.1510	0.77687	1.53783
12.2010	0.75837	1.55792
12.2510	0.78498	1.52936
12.3010	0.71561	1.59742
12.3510	0.75291	1.59297
12.4010	0.76326	1.61191
12.4510	0.81384	1.56654
12.5010	0.78711	1.56176
12.5510	0.81128	1.55044
12.6010	0.79175	1.58050
12.6510	0.78072	1.59860
12.7010	0.83607	1.54004
12.7510	0.78978	1.56352
12.8010	0.79953	1.53522
12.8510	0.69783	1.61235
12.9010	0.73138	1.58660
12.9510	0.74180	1.57315
13.0010	0.72999	1.55883
13.0510	0.80706	1.54971
13.1010	0.77969	1.55565
13.1510	0.71408	1.60804
13.2010	0.73799	1.59685
13.2510	0.70138	1.68128
13.3010	0.74524	1.64012
13.3510	0.68101	1.71457
13.4010	0.75759	1.64702
13.4510	0.79288	1.61457
13.5010	0.76815	1.63901
13.5510	0.73793	1.63304
13.6010	0.72968	1.63695
13.6510	0.75490	1.60235
13.7010	0.77741	1.58078
13.7510	0.72037	1.67475
13.8010	0.67827	1.68855
13.8510	0.80766	1.59003
13.9010	0.77942	1.59783
13.9510	0.74616	1.62207
14.0010	0.81478	1.59241
14.0510	0.81768	1.55859
14.1010	0.74190	1.62219
14.1510	0.68923	1.68115
14.2010	0.69779	1.65326
14.2510	0.71151	1.68785
14.3010	0.70288	1.71957
14.3510	0.74435	1.68641
14.4010	0.79572	1.60073
14.4510	0.68779	1.66932
14.5010	0.89814	1.64716
14.5510	0.88549	1.56326
14.6010	0.81119	1.64763
14.6510	0.78888	1.63735
14.7010	0.75422	1.62211
14.7510	0.84330	1.57351
14.8010	0.88108	1.51788
14.8510	0.90272	1.50703
14.9010	0.88381	1.49001
14.9510	0.85113	1.57247
15.0010	0.85630	1.62117
15.0510	0.79035	1.61803
15.1010	0.69223	1.70751
15.1510	0.75255	1.64119
15.2010	0.78019	1.67499
15.2510	0.86878	1.53945
15.3010	0.89015	1.50709
15.3510	0.87778	1.52603
15.4010	0.92973	1.46705
15.4510	0.88456	1.49218
15.5010	0.84727	1.55059
15.5510	0.86952	1.51633
15.6010	0.83757	1.56075
15.6510	0.85274	1.51552
15.7010	0.90451	1.51729
15.7510	0.92049	1.49263
15.8010	0.77255	1.63693
15.8510	0.72725	1.65145
15.9010	0.67806	1.71898
15.9510	0.69875	1.74643
16.0010	0.69782	1.73596
16.0510	0.70994	1.73715
16.1010	0.58125	1.88512
16.1510	0.68213	1.75468
16.2010	0.69775	1.75711
16.2510	0.71668	1.73298
16.3010	0.74838	1.67242
16.3510	0.74979	1.70515
16.4010	0.82204	1.72065
16.4510	0.79462	1.65548
16.5010	0.82542	1.64410
16.5510	0.86574	1.60180
16.6010	0.87882	1.56250
16.6510	0.85981	1.58215
16.7010	0.82805	1.61736
16.7510	0.79623	1.64778
16.8010	0.84950	1.58276
16.8510	0.85366	1.60843
16.9010	0.82066	1.60116
16.9510	0.81471	1.61775
17.0010	0.73204	1.74724
17.0510	0.77416	1.70900
17.1010	0.73971	1.72904
17.1510	0.63616	1.85249
17.2010	0.67021	1.85069
17.2510	0.73136	1.79951
17.3010	0.70947	1.86159
17.3510	0.75858	1.79152
17.4010	0.81115	1.69400
17.4510	0.83786	1.65263
17.5010	0.85027	1.63530
17.5510	0.84012	1.66230
17.6010	0.77880	1.75166
17.6510	0.81364	1.74358
17.7010	0.79771	1.71101
17.7510	0.78715	1.75443
17.8010	0.80958	1.70226
17.8510	0.77124	1.74851
17.9010	0.75339	1.77203
17.9510	0.83590	1.76602
18.0010	0.86839	1.70176
18.0510	0.83649	1.68065
18.1010	0.77017	1.73683
18.1510	0.78838	1.68155
18.2010	0.73504	1.75796
18.2510	0.72951	1.79303
18.3010	0.78792	1.75650
18.3510	0.82201	1.71012
18.4010	0.80178	1.70448
18.4510	0.82588	1.66682
18.5010	0.77881	1.70186
18.5510	0.79216	1.70250
18.6010	0.75249	1.77988
18.6510	0.69315	1.84886
18.7010	0.77042	1.78452
18.7510	0.75706	1.76482
18.8010	0.76688	1.75488
18.8510	0.70139	1.80517
18.9010	0.69047	1.82122
18.9510	0.64752	1.87210
19.0010	0.71355	1.83466
19.0510	0.66102	1.90300
19.1010	0.73480	1.78909
19.1510	0.78119	1.75843
19.2010	0.76069	1.78909
19.2510	0.75568	1.78040
19.3010	0.70586	1.81876
19.3510	0.78800	1.73334
19.4010	0.73003	1.80691
19.4510	0.78709	1.76723
19.5010	0.71275	1.86452
19.5510	0.60946	1.95014
19.6010	0.80040	1.78060
19.6510	0.78490	1.72760
19.7010	0.76898	1.78379
19.7510	0.75804	1.75385
19.8010	0.60953	1.95695
19.8510	0.61871	1.95813
19.9010	0.71536	1.89644
19.9510	0.77705	1.78570
20.0010	0.77042	1.76831
20.0510	0.87523	1.76239
20.1010	0.85004	1.70892
20.1510	0.76838	1.77467
20.2010	0.76008	1.75299
20.2510	0.76672	1.75725
20.3010	0.71889	1.85063
20.3510	0.76038	1.79034
20.4010	0.78628	1.79389
20.4510	0.85872	1.72769
20.5010	0.81304	1.70744
20.5510	0.73600	1.77711
20.6010	0.81763	1.70970
20.6510	0.82176	1.71936
20.7010	0.88094	1.68790
20.7510	0.87708	1.65896
20.8010	0.82082	1.76738
20.8510	0.81697	1.76273
20.9010	0.84256	1.75557
20.9510	0.80602	1.71683
21.0010	0.76811	1.75324
21.0510	0.76551	1.79356
21.1010	0.73801	1.84578
21.1510	0.71719	1.84901
21.2010	0.60245	2.00945
21.2510	0.58254	2.06998
21.3010	0.61133	1.99477
21.3510	0.67759	1.93871
21.4010	0.68345	1.95135
21.4510	0.60296	2.01231
21.5010	0.73484	1.91129
21.5510	0.79076	1.88158
21.6010	0.80786	1.78154
21.6510	0.70579	1.92357
21.7010	0.72791	1.84754
21.7510	0.75535	1.87267
21.8010	0.77516	1.84235
21.8510	0.81791	1.81177
21.9010	0.80788	1.80595
21.9510	0.73320	1.88732
22.0010	0.70380	1.97166
22.0510	0.72438	1.92782
22.1010	0.75524	1.86270
22.1510	0.76294	1.86266
22.2010	0.79750	1.86763
22.2510	0.76648	1.93354
22.3010	0.79687	1.81000
22.3510	0.75603	1.82151
22.4010	0.67895	1.93291
22.4510	0.68853	1.96991
22.5010	0.68481	1.99353
22.5510	0.66764	1.97961
22.6010	0.58366	2.12143
22.6510	0.64326	2.03816
22.7010	0.70886	2.00173
22.7510	0.65485	2.05276
22.8010	0.61851	2.07032
22.8510	0.68379	2.02726
22.9010	0.69219	2.00427
22.9510	0.59044	2.08816
23.0010	0.58105	2.14601
23.0510	0.55024	2.14937
23.1010	0.56921	2.21544
23.1510	0.53477	2.22051
23.2010	0.60398	2.09232
23.2510	0.55085	2.13415
23.3010	0.61107	2.08736
23.3510	0.59957	2.10457
23.4010	0.68006	1.99674
23.4510	0.70252	2.00239
23.5010	0.59924	2.14856
23.5510	0.66768	2.04757
23.6010	0.61880	2.07007
23.6510	0.65561	1.98692
23.7010	0.69013	1.96771
23.7510	0.64469	2.09302
23.8010	0.61484	2.08974
23.8510	0.60333	2.10965
23.9010	0.56129	2.19719
23.9510	0.62961	2.06385
24.0010	0.69601	2.01680
24.0510	0.61176	2.10764
24.1010	0.71087	1.96658
24.1510	0.64499	2.08037
24.2010	0.63163	2.13660
24.2510	0.65603	2.08334
24.3010	0.62879	2.09052
24.3510	0.62758	2.15451
24.4010	0.72262	2.01563
24.4510	0.63406	2.11129
24.5010	0.64739	2.05701
24.5510	0.64126	2.06185
24.6010	0.66388	2.04144
24.6510	0.67436	2.02086
24.7010	0.65074	2.06455
24.7510	0.61814	2.10865
24.8010	0.62311	2.10936
24.8510	0.61726	2.13943
24.9010	0.64370	2.08258
24.9510	0.67111	2.11308
25.0010	0.69654	2.06763
25.0510	0.68523	2.04941
25.1010	0.61944	2.07772
25.1510	0.69415	2.01850
25.2010	0.79222	1.90338
25.2510	0.78568	1.91527
25.3010	0.72854	1.99784
25.3510	0.65141	2.15763
25.4010	0.62936	2.16326
25.4510	0.66432	2.09563
25.5010	0.67220	2.06643
25.5510	0.57684	2.22396
25.6010	0.51468	2.24097
25.6510	0.48432	2.27263
25.7010	0.57291	2.16523
25.7510	0.58814	2.08735
25.8010	0.53330	2.19579
25.8510	0.58414	2.16072
25.9010	0.60741	2.08674
25.9510	0.53350	2.18949
26.0010	0.57942	2.20664
26.0510	0.65452	2.11364
26.1010	0.72959	1.97876
26.1510	0.71791	2.04589
26.2010	0.63327	2.11761
26.2510	0.55922	2.27971
26.3010	0.54247	2.27053
26.3510	0.54863	2.22075
26.4010	0.57338	2.16336
26.4510	0.57975	2.20313
26.5010	0.64538	2.11074
26.5510	0.68678	2.11031
26.6010	0.71481	1.99092
26.6510	0.73105	1.88984
26.7010	0.68855	1.94984
26.7510	0.60272	2.09944
26.8010	0.56240	2.15083
26.8510	0.57330	2.24262
26.9010	0.58903	2.19699
26.9510	0.65358	2.14098
27.0010	0.65857	2.10541
27.0510	0.68198	2.06781
27.1010	0.64612	2.10559
27.1510	0.65747	2.08017
27.2010	0.67100	2.08979
27.2510	0.65660	2.11299
27.3010	0.63856	2.09997
27.3510	0.59557	2.19087
27.4010	0.54936	2.26019
27.4510	0.60438	2.18877
27.5010	0.57501	2.24434
27.5510	0.51324	2.30039
27.6010	0.56820	2.13936
27.6510	0.62210	2.08928
27.7010	0.59853	2.18462
27.7510	0.71702	2.00163
27.8010	0.63826	2.10031
27.8510	0.67447	2.08457
27.9010	0.63534	2.08882
27.9510	0.61435	2.17561
28.0010	0.65530	2.08364
28.0510	0.60755	2.19645
28.1010	0.51889	2.23216
28.1510	0.59570	2.21640
28.2010	0.72442	2.02141
28.2510	0.68209	2.07699
28.3010	0.65263	2.07629
28.3510	0.61463	2.11071
28.4010	0.63842	2.03993
28.4510	0.71014	2.00620
28.5010	0.67247	2.04813
28.5510	0.69717	1.98125
28.6010	0.66839	2.00909
28.6510	0.60005	2.09069
28.7010	0.55815	2.13190
28.7510	0.63403	2.10664
28.8010	0.68258	2.08544
28.8510	0.65302	2.15146
28.9010	0.68920	2.07675
28.9510	0.65688	2.11449
29.0010	0.63108	2.12177
29.0510	0.69794	2.03435
29.1010	0.68044	2.04088
29.1510	0.69991	2.09421
29.2010	0.83343	1.89670
29.2510	0.87196	1.77706
29.3010	0.79886	1.89832
29.3510	0.71563	2.00147
29.4010	0.62091	2.18699
29.4510	0.66738	2.12573
29.5010	0.67339	2.14044
29.5510	0.65343	2.11105
29.6010	0.60908	2.19563
29.6510	0.67478	2.11869
29.7010	0.72032	2.02858
29.7510	0.68510	2.05650
29.8010	0.67136	2.08588
29.8510	0.67198	2.16231
29.9010	0.60837	2.24854
29.9510	0.60648	2.23248
30.0010	0.60706	2.16862
30.0510	0.65886	2.08423
30.1010	0.66913	2.08674
30.1510	0.67974	2.06277
30.2010	0.59605	2.21055
30.2510	0.64352	2.10957
30.3010	0.57805	2.17778
30.3510	0.68306	2.04398
30.4010	0.65773	2.03718
30.4510	0.62854	2.15370
30.5010	0.65830	2.09142
30.5510	0.58754	2.23156
30.6010	0.58122	2.21797
30.6510	0.62355	2.15984
30.7010	0.68360	2.08824
30.7510	0.59920	2.16868
30.8010	0.64569	2.12949
30.8510	0.63865	2.10610
30.9010	0.72868	1.96444
30.9510	0.74622	1.90921
31.0010	0.68948	2.02013
31.0510	0.71696	1.96920
31.1010	0.71974	1.95223
31.1510	0.69021	2.04165
31.2010	0.68166	2.06623
31.2510	0.70859	2.00117
31.3010	0.79029	1.92614
31.3510	0.75252	1.96389
31.4010	0.77685	1.93681
31.4510	0.70797	2.01658
